binned_CIB_353 delta_cls_CIB_353
8.183394413786336e-09 3.4898910903932166e-10
6.541663517077678e-09 2.4423859491636043e-10
6.469442235193698e-09 1.9280014158220044e-10
5.128051889349885e-09 1.3143693289678993e-10
4.172728502523765e-09 9.425445597834223e-11
3.3913930924630086e-09 7.055032600283945e-11
2.850908248975262e-09 5.4069236367485823e-11
2.3067844163378092e-09 4.1452318246612885e-11
1.903627500680592e-09 3.1777765586035073e-11
1.5816791656465076e-09 2.5101315824635603e-11
1.3764225119336942e-09 2.1065580502796713e-11
1.1665144336448477e-09 1.689223823298037e-11
1.0401231441715122e-09 1.4663979345029678e-11
8.829573202006777e-10 1.1820675230224182e-11
7.82342327164687e-10 1.0248209775611574e-11
7.000207774629567e-10 8.782835429582345e-12
6.149754807351549e-10 7.48806185452505e-12
5.42980900075282e-10 6.483071321613682e-12
4.917859830226891e-10 5.6503903103632235e-12
4.4468680830847417e-10 5.042679123896239e-12
4.0818751145612004e-10 4.463328983629292e-12
3.686277153574886e-10 3.986835099386139e-12
3.344257561959695e-10 3.4928764653222477e-12
2.9873312671638284e-10 3.0898914130781188e-12
2.763547954158129e-10 2.7662263201005833e-12
