more_binned_CIB_353 delta_cls_CIB_353_morebins
1.2326211169797259e-08 1.1166228085201771e-09
6.137037830044177e-09 5.876493804315817e-10
5.940765914107421e-09 4.707336016981431e-10
5.810066747587316e-09 4.2469795382156813e-10
6.590726520765441e-09 4.1645662743156657e-10
7.220423205673524e-09 4.282061237254189e-10
6.326241253608723e-09 3.4137595695807427e-10
6.706330878484753e-09 3.5573757765282474e-10
6.392675190865552e-09 3.098031330490977e-10
5.517633362966189e-09 2.616387288436743e-10
5.079294182040394e-09 2.2279583852150862e-10
4.790978715913032e-09 2.079238089697555e-10
4.441426684563157e-09 1.8040618076438715e-10
4.256102009395749e-09 1.7176926153662786e-10
3.826612064103244e-09 1.4442056995272074e-10
3.666699316134856e-09 1.386302216469402e-10
3.345451461771861e-09 1.1860583873595154e-10
3.165562471073933e-09 1.1338048544732123e-10
3.022307442907881e-09 1.0139181642403743e-10
2.8856598579672855e-09 9.733048530738903e-11
2.6472397038357643e-09 8.475072004017821e-11
2.484586242930286e-09 8.071415662710224e-11
2.259261621196532e-09 6.896233562173087e-11
2.18016098451286e-09 6.769661360699002e-11
2.0479685971450546e-09 5.989756950663058e-11
1.8627819319726783e-09 5.369068351134845e-11
1.792170778481231e-09 5.236805747627933e-11
1.6550156522769073e-09 4.5932392021738715e-11
1.5874103655033449e-09 4.484063198880674e-11
1.5030208505776168e-09 4.0298203013047135e-11
1.467198047589252e-09 4.0223647018342345e-11
1.3289807373513733e-09 3.451366531302688e-11
1.336738118136021e-09 3.544598916183194e-11
1.2176473137473822e-09 3.066561768931885e-11
1.1666715038130358e-09 3.012398783312037e-11
1.1152357026718526e-09 2.732696354351059e-11
1.0899586765283895e-09 2.7362574172608094e-11
1.0239136263243742e-09 2.4479853061004746e-11
1.0077440156500145e-09 2.464730400588664e-11
9.375725695452148e-10 2.1838356507190084e-11
8.62169770890528e-10 2.0573147550144045e-11
8.47644795215565e-10 1.9254699548933533e-11
8.014098460894508e-10 1.863438861560787e-11
7.973915366171919e-10 1.7674703621042315e-11
7.470679672910723e-10 1.704850387377731e-11
7.170658802337909e-10 1.5585379914484378e-11
7.1122295595316e-10 1.5888008029856047e-11
6.725736518083624e-10 1.430707234767769e-11
6.261572406237369e-10 1.3679461716639303e-11
6.167682835234152e-10 1.286867760624656e-11
6.027996151932115e-10 1.2449505982525674e-11
5.617716533302333e-10 1.1909260716890599e-11
5.494953952912465e-10 1.1106907980007333e-11
5.171745365877534e-10 1.0761023509415338e-11
5.114794342212809e-10 1.0176874348324078e-11
4.866265033658371e-10 9.937868710168508e-12
4.768834772197456e-10 9.308594807359054e-12
4.657139806443476e-10 9.356412662899899e-12
4.4163627157188513e-10 8.488249455720704e-12
4.269448293812353e-10 8.44443633027777e-12
4.1726866648613497e-10 7.88148809259945e-12
4.073489430725254e-10 7.912821412493158e-12
3.9988502706801426e-10 7.427220969752308e-12
3.8314013671917074e-10 7.335877060306996e-12
3.647970544894471e-10 6.677027893677053e-12
3.582406210844666e-10 6.757208579934621e-12
3.4482304765001193e-10 6.221876716667027e-12
3.383617965165024e-10 6.284771521147264e-12
3.2037357015857516e-10 5.6965030087678596e-12
3.1098983474928075e-10 5.698096247243411e-12
3.0111646658265936e-10 5.277118204838824e-12
2.839097449813411e-10 5.127752229415891e-12
2.8941240605758934e-10 5.001561942661338e-12
2.7506166554282244e-10 4.900315220171061e-12
2.6449794822752714e-10 4.514515089926727e-12
