binned_CIB_morebins delta_cls_CIB_morebins
1.0529532772898354e-07 9.133114905700608e-09
3.368523783964836e-08 3.4045221384974076e-09
3.0231756200096476e-08 2.5327272071264812e-09
3.267977388951436e-08 2.448003037483726e-09
3.742041274428607e-08 2.6423463838393725e-09
4.254840438309375e-08 2.589416429349361e-09
3.7736304872430653e-08 2.187557553302886e-09
4.1222622274588146e-08 2.324878830248679e-09
3.8933021950761276e-08 2.019493826634767e-09
3.821811178396591e-08 1.8323416716049726e-09
3.4991107972464746e-08 1.7079048506836796e-09
3.156150450329793e-08 1.4199266227972375e-09
2.996988750096819e-08 1.289767591917497e-09
2.854527838717495e-08 1.2453662839676018e-09
2.7405659899275615e-08 1.1011475741575578e-09
2.5239186110543638e-08 9.854782721510056e-10
2.4260412207936347e-08 9.562723916729895e-10
2.26135985687761e-08 8.352109749439478e-10
2.1216185698060084e-08 7.637799748977736e-10
2.0146926779251972e-08 7.044162806286259e-10
1.9933438809076284e-08 7.08436658859518e-10
1.8243226907015022e-08 6.083000496543169e-10
1.735811648097932e-08 5.677358701894132e-10
1.6350711537563523e-08 5.465423935252145e-10
1.496963629570483e-08 4.713641569936947e-10
1.4768726718930121e-08 4.543051832805354e-10
1.3338990778027032e-08 4.201082993832625e-10
1.308850762982484e-08 3.8878196320876354e-10
1.2178973446232192e-08 3.563307700445903e-10
1.1434277958673182e-08 3.424277294989012e-10
1.1054411754309895e-08 3.1180211127911854e-10
1.0634848052075635e-08 2.9560422223151763e-10
1.0415964655726684e-08 2.974135067214675e-10
9.577836940090884e-09 2.5846787192423977e-10
9.58133429481721e-09 2.546100987532065e-10
8.969607766791772e-09 2.452783181707978e-10
8.427253657065324e-09 2.1802256758995703e-10
8.226914705138938e-09 2.102951332490963e-10
7.922308986115923e-09 2.0839850918822772e-10
7.521173345068844e-09 1.8749599579271918e-10
7.579646526639288e-09 1.8684060496296405e-10
7.047566122300733e-09 1.7852379448951737e-10
6.7263777360949514e-09 1.6199198926511227e-10
6.2530494826185314e-09 1.4864587692486446e-10
6.186252031075073e-09 1.5128137024402014e-10
5.8899305676670264e-09 1.368764968365736e-10
5.824541079670978e-09 1.338927829548053e-10
5.538059158336583e-09 1.3144837055718772e-10
5.309506317221818e-09 1.1979043482636526e-10
5.3261930025074925e-09 1.1911583881320476e-10
5.02784649620232e-09 1.157022647320348e-10
4.8009733181907845e-09 1.0520150045808039e-10
4.605875490127808e-09 9.992141494464236e-11
4.572831854635207e-09 1.0233776220370629e-10
4.428222821064518e-09 9.43750866642751e-11
4.1541149650153255e-09 8.767168121888744e-11
4.109054962037519e-09 8.933832475143007e-11
3.836358552197099e-09 7.965853280114802e-11
3.876275036840111e-09 7.98099846976998e-11
3.599352635366585e-09 7.632098548523045e-11
3.6738188653656943e-09 7.433491921286727e-11
3.5370737524323556e-09 7.102874795999124e-11
3.354702332360391e-09 6.684986494818603e-11
3.289249340520303e-09 6.769767792559198e-11
3.2047436193922756e-09 6.28376616142416e-11
3.156262924885528e-09 6.138400321912113e-11
3.101117634541957e-09 6.229985406880818e-11
2.995209722081723e-09 5.746577085308701e-11
2.8614207650049567e-09 5.450835082930455e-11
2.777944288617153e-09 5.464820940366557e-11
2.7185509587754836e-09 5.104479675092771e-11
2.6676263265490846e-09 4.973812521799096e-11
2.5752190144920507e-09 4.964537526726713e-11
2.4464579809114463e-09 4.499991414154788e-11
2.4290825999931746e-09 4.438483070223059e-11
2.3181707784796187e-09 4.377497483045172e-11
2.230909063874066e-09 4.0231873986032605e-11
2.2531063010805923e-09 4.0324937720846296e-11
2.1662447383867076e-09 4.0122250887392995e-11
2.0840243716267e-09 3.690642069747724e-11
