binned_CIB binned_CMB binned_corr_cls
5.527794138835735e-08 1.1838907301521058e-06 1.9716618247793716e-08
3.795268377993769e-08 1.2347974228508956e-06 3.1281997736934285e-08
3.978163902725677e-08 1.2354263667962777e-06 3.1647138092979564e-08
3.248006358306478e-08 1.2097879267162325e-06 2.613504876424102e-08
2.7152912774531166e-08 1.2921707299070161e-06 2.1883497615429103e-08
2.252474190704053e-08 1.2849661366638707e-06 1.757027524432311e-08
1.9182983791484244e-08 1.3544417677367055e-06 1.7851975981438784e-08
1.5776688321034046e-08 1.3739875829507517e-06 1.080306020098154e-08
1.3193005982298803e-08 1.3886198201017454e-06 1.1749737677348346e-08
1.1119323023227045e-08 1.3680300877593365e-06 9.419335854133071e-09
9.819968148065572e-09 1.357077508955171e-06 7.634458273105276e-09
8.403911215714498e-09 1.410099734353269e-06 6.168580107711701e-09
7.558086351908924e-09 1.4016303932585046e-06 5.772997818490465e-09
6.45699053424329e-09 1.4037050805362515e-06 5.732684664788738e-09
5.7860677812561905e-09 1.4456915201031584e-06 4.954689294410988e-09
5.209433974901324e-09 1.4718628449347184e-06 3.4858908089722665e-09
4.6181177057263355e-09 1.492432861576036e-06 3.8181902029459095e-09
4.105337672800539e-09 1.4992549202395097e-06 3.4653791244881154e-09
3.740676865498373e-09 1.5284270811302217e-06 3.277118873986082e-09
3.4102408513789625e-09 1.5214531858632565e-06 2.5695126898687843e-09
3.146607169195119e-09 1.5781288297044303e-06 2.5462005262595292e-09
2.8530980700451366e-09 1.6115154332705581e-06 2.404663041607802e-09
2.610004373351648e-09 1.6628883491652118e-06 2.402637905835159e-09
2.339599060888985e-09 1.7105467061673631e-06 1.9928105416109386e-09
2.174427541870805e-09 1.758057021273514e-06 1.5284335984141928e-09
