cl_CMB_lensing cl_CIB correlated_cls ell
2.0214892777590134e-07 9.09400851572415e-19 4.2875914808182844e-13 0
8.194828071525077e-07 3.7984824910231433e-07 5.564872430159047e-07 1
1.8669561238037829e-06 1.470854360422753e-06 6.320321659001842e-07 2
1.2851576928278117e-06 3.281167891414745e-07 -2.7856773562613615e-07 3
5.419366571442434e-07 1.612010371131682e-06 5.454382183658672e-07 4
2.6059555310783736e-07 5.918304541812481e-07 1.8743633572656825e-07 5
7.671043699402955e-07 8.552941735096868e-07 -7.796521112576939e-08 6
1.6309403382229566e-06 1.3586456184614846e-07 -4.4516974121333895e-08 7
6.896400436593082e-07 3.264899522752088e-07 1.8470691870439475e-07 8
6.071556505708e-07 4.3861536550995255e-07 -6.207462580455419e-08 9
9.467939476307724e-07 2.8334695499436916e-07 -8.594742095841157e-09 10
1.3177812304927614e-06 2.397275867860383e-07 2.172634922042089e-08 11
1.3260628984247186e-06 1.054340424170981e-07 -1.113306865176544e-07 12
1.171387743950307e-06 6.86546681134326e-08 5.456446311162774e-08 13
1.004550641633407e-06 1.4397844332682045e-07 7.680631641929219e-08 14
1.168556215222841e-06 6.795759541690622e-08 2.0029299136301885e-08 15
1.1307999475839576e-06 1.0612345696488222e-07 3.0693381404760406e-08 16
9.9934585320172e-07 6.726623668116216e-08 3.5157906760095794e-08 17
1.1655390221597504e-06 6.783131307571445e-08 -1.2719232224872094e-08 18
1.4355757443038466e-06 7.486217321650716e-08 4.5822440056204997e-08 19
1.1128440382304453e-06 4.800310646924921e-08 7.41308822148496e-08 20
1.2023502648365432e-06 5.170835321154397e-08 6.011642964707282e-08 21
1.16087437946929e-06 4.394532980306221e-08 1.1344385010147317e-08 22
1.3090800643621705e-06 3.7756730769278584e-08 5.114517549141249e-09 23
1.2670977175754166e-06 5.2026581483987865e-08 1.0555672514361922e-08 24
1.4097858700951311e-06 3.250596825177985e-08 -8.481219916036657e-09 25
1.0702867085311816e-06 2.5665117252892426e-08 -2.2346969524429572e-08 26
1.2232479359228809e-06 4.25606086098325e-08 2.0419282350296818e-08 27
1.1289128855536004e-06 3.711754336759784e-08 -6.253747496261111e-09 28
1.1259508195186454e-06 3.3803119067633334e-08 -1.7762099184511244e-08 29
1.1740238891943255e-06 3.0870361926901494e-08 6.4490647247451654e-09 30
1.5260876198873563e-06 3.268028779029645e-08 4.4351265397412394e-08 31
1.1532900363943916e-06 2.6228643280248343e-08 3.2598313443060246e-08 32
1.1441203114959535e-06 2.464781626400259e-08 6.200074573702997e-08 33
1.3448610217117412e-06 2.8360076011329094e-08 1.4889850326096104e-08 34
