delta_cls_CMB delta_cls delta_cls_CIB
6.202829004044389e-08 7.832995607350406e-09 1.8612697389727565e-09
4.3871360324256896e-08 5.6749971154202475e-09 1.4165774385365457e-09
3.465916858551745e-08 4.583909932788072e-09 1.1856805092180515e-09
2.9491834630586777e-08 3.5354815551166398e-09 8.331877462516082e-10
2.7829037198058236e-08 2.9448657868463276e-09 6.14209863549539e-10
2.5462572031620637e-08 2.4591951852518536e-09 4.69029682699595e-10
2.449732086241909e-08 2.124116549316047e-09 3.639922507857461e-10
2.3494829885993033e-08 1.8328156688527758e-09 2.837536570057908e-10
2.208286156900936e-08 1.5676287576998113e-09 2.2048096604538582e-10
2.061322825416732e-08 1.3534131968216468e-09 1.765584040962944e-10
1.9699637530954934e-08 1.2200734820085324e-09 1.5041764893419007e-10
1.9355019874889773e-08 1.0876917896960065e-09 1.217235507187594e-10
1.8716483233111344e-08 1.0010094716725784e-09 1.0661579571878434e-10
1.7812263521507137e-08 8.795551865726367e-10 8.643953267002507e-11
1.7951117489200878e-08 8.26141030790246e-10 7.57976578357089e-11
1.7485993832076525e-08 7.571627913455546e-10 6.538570406630438e-11
1.7172045942541005e-08 6.959608760802308e-10 5.624161470731742e-11
1.6961941069174148e-08 6.461021770919577e-10 4.901322826762036e-11
1.662796682518961e-08 5.986517481765177e-10 4.297792935807247e-11
1.6335180259300788e-08 5.628539627557075e-10 3.868401770132499e-11
1.632656201656561e-08 5.308265980642067e-10 3.4420258587339164e-11
1.6486361141289925e-08 5.051266886942025e-10 3.0864848254234386e-11
1.642752914237093e-08 4.738823872355951e-10 2.726590886208319e-11
1.6751859778856802e-08 4.5082203568613543e-10 2.4205212508825748e-11
1.6662759500443133e-08 4.263354391749624e-10 2.176981789649236e-11
